"Session Title","Session Description","Speaker Bio(s)"
"1776: Independence and After","Why did the American colonies declare Independence in 1776? What were the challenges, and what potential opportunities did they see? How did their thinking change from trying to preserve their long-cherished charter rights, to announcing their arrival as an independent entity, equal among the powers of the earth to all other nations?","Robert J. Allison, a professor of history at Suffolk University, also teaches in the Harvard Extension School. He has written a series of short books about the American Revolution, on the histories of Boston and of Cape Cod, as well as longer works on the Barbary Wars and Naval hero Stephen Decatur. He edited an edition of The Interesting Narrative of Olaudah Equiano, or Gustavus Vassa, the African. Allison created two classes for The Teaching Company's series ""The Great Courses,"" on colonial America drawn from his teaching which has covered all phases of American history, though his primary focus is the American Revolution and the early American republic. He is president of the Colonial Society of Massachusetts, a scholarly organization which publishes primary documents on early American history, a life-trustee of the USS CONSTITUTION Museum, and as chair of Revolution 250, Allison hosts its weekly podcast, a series of conversations on the Revolution with historians, museum curators, and re-enactors."
"A Conversation with Nina Zannieri, Executive Director, Paul Revere Memorial Association on Four Decades of Historic Education and Preservation in Boston, and the Challenges Ahead","With her 40 years of experience as the Executive Director of the Paul Revere Memorial Association in Boston, few people have the perspective that Nina does on the way in which Boston and Boston historic sites and organizations carry out their mission of historic education and preservation, including the challenges faced and the changes that have taken place over the last four decades. When Nina announced in May that she would be retiring, I immediately knew that she should be our guest for a conversation at History Camp Boston 2026. Please join us and bring your questions. — Lee Wright","Nina Zannieri, Executive Director, Paul Revere Memorial Association. Since 1986, Nina Zannieri has been the Executive Director of the Paul Revere Memorial Association in Boston, MA, which owns and operates a now fully accessible complex of three historic buildings that includes the Paul Revere House. Ms. Zannieri has held leadership positions in several national and regional professional museum organizations including American Alliance of Museum, New England Museum Association, and the American Association for State and Local History. In 2015 she received a NEMA Lifetime Achievement Award. She currently sits on the board of the Freedom Trail Foundation, Seamans Port and Aid Society, Harvard University Museum Studies Advisory Board, and is a member of the Boston Green Ribbon Commission Cultural Organization Working Group Leadership team. She received her BA in history from Boston College and her MA in Anthropology/Museum Studies from Brown University."
"Amelia Earhart, George Putnam, and the Making of an American Icon","Amelia Earhart did not become Amelia Earhart by accident. In this talk, Laurie Gwen Shapiro shares the story behind The Aviator and the Showman, her new biography of Earhart and publisher-promoter George Palmer Putnam, tracing how a record-setting pilot, a gifted publicist, and a hungry American media culture together created one of the twentieth century's most enduring legends. Drawing on deep archival research, Shapiro looks past the familiar disappearance story to explore Earhart's ambition, marriage, fame, and the machinery that turned a complicated woman into an icon.","Laurie Gwen Shapiro is the author of The Aviator and the Showman: Amelia Earhart, George Putnam, and the Marriage That Made an American Icon, published by Viking. She is also the author of The Stowaway and has written for The New Yorker, The New York Times, The Atlantic, and other publications. A journalist, filmmaker, and historian, she is currently at work on a biography of Albert Einstein in America."
"Broken Promises on the Road Revolution in Natick, 1650 – 1783","Founded as a Puritan Mission in 1651, Natick and its Indigenous residents endured a painful pattern of dispossession of rights, lands, and liberties in the century leading up to the American Revolution. And yet, more than forty Indigenous and Black men with ties to Natick enlisted to fight for the Patriot cause. Learn about the histories these soldiers carried with them into battle and how a community that lived through broken promises refused to be limited by them.","Niki Lefebvre has been the Executive Director of the Natick Historical Society since 2018. In 2020, she was named a Rising Star by the Massachusetts History Alliance. She has spoken about Natick history to countless school, university, and public groups, as well as on regional media, including WCVB News and Chronicle. She holds an MA in Public History from the University of Massachusetts Amherst and a PhD in American Studies from Boston University."
"Civil War Monuments, from Obelisks to 'Parade Rest"" to American Renaissance","The Civil War monument is an iconic element of hundreds of Massachusetts's town landscapes. From a shared anguish–sons and fathers killed on distant battlefields, and never to return–they give us a range of answers to the question of what those soldiers fought for. They also hold a mirror up to the nation we were becoming in the generation after Appomattox. We can see in these monuments a new America emerging, one reflected in an evolving architectural language of mourning and commemoration. This talk will relocate our Civil War monuments from the ubiquitous background of the town common to symbols of our American destiny.","A. Michael Ruderman is a noted speaker and presenter on topics of Colonial and local history. He provided the research to substantiate the ""First Map of the American Revolution"", published in American Heritage magazine. He most recently appeared at History Camp in 2025 telling the story of the Battle of Menotomy, the Royal forces' fight for their lives through an enraged countryside."
"Conspirator in Chief: The Long Tradition of Conspiracy Theories in the American Presidency","Conspiracy theories have been part of American life from the beginning. The land of the free and the home of the brave has also been the den of false rumors and conspiratorial claims about one's political enemies—not merely by rank-and-file Americans but also by our most powerful and consequential elected leaders. This talk will focus on presidents from the past who circulated falsehoods designed to undermine their opponents and enhance their own power, not just on the campaign trail but also during their tenure in office. The talk will conclude with a discussion of those presidents who shunned conspiracy mongering and embraced the ""better angels of our nature.""","Dr. Stephen Knott is the Thomas & Mabel Guy Professor of American History & Government at Ashland University, and an Emeritus Professor of National Security Affairs at the United States Naval War College. Prior to accepting his position at the Naval War College, Knott was Co-Chair of the Presidential Oral History Program at the Miller Center of Public Affairs at the University of Virginia. He is the author or co-author of eleven books dealing with the American presidency, the early republic, and American foreign policy."
"Dr. Joseph Warren – ""Act Worthy of Yourselves""","The person who dispatched Paul Revere on that famous ride was also a citizen whose life and example has shaped the American experience in important ways. The impact and legacy of early Revolutionary War figure Dr. Joseph Warren is earning renewed attention from directions as disparate as Ken Burns' documentary The American Revolution and Communist Chinese censors. Sam Forman, Warren's biographer, will describe a compelling example of situational leadership at the outbreak of the Revolutionary War. Captivating and influential to both friends and enemies, Warren led in many roles effectively and simultaneously – Patriot leader, writer, and orator; Masonic grand master; and physician.","Dr. Sam Forman is an historian and Harvard faculty member. He is educated in the history of the American Revolution as well as the practice of medicine. Throughout successful careers as a physician, military officer, and businessman, he has published and lectured on historical topics that inform current issues. Sam is the author of the award-winning biography Dr. Joseph Warren: The Boston Tea Party, Bunker Hill, and the Birth of American Liberty and Ill-Fated Frontier: Peril and Possibilities in the Early American West. Dr. Forman is a founding board member of The Pursuit of History and is a regular presenter at History Camp Boston."
"Dr. Joseph Warren and an American Rebellion","He lit the spark that ignited a revolution, and then he paid for it with his life. In 1755, fourteen-year-old Joseph Warren left his family's farm in Roxbury, Massachusetts, and walked into destiny when he entered Harvard. As a respected Boston physician, Warren healed the sick and challenged the British Empire, but as a leader of the Sons of Liberty and the radical resistance to English rule, he stood at the center of a growing storm. He authored the Suffolk Resolves, laying the philosophical groundwork for the Declaration of Independence. On the night of April 18, 1775, the responsibility to warn the countryside fell to Warren alone; he dispatched Paul Revere and William Dawes on their legendary rides. He died on the battlefield of Bunker Hill, becoming one of the Revolution's earliest and most noble martyrs.","Salina B. Baker is an author, presenter, and historian of the American Revolution. In 2023, she published a biographical novel about Major General Nathanael Greene titled The Line of Splendor, A Novel of Nathanael Greene and the American Revolution. Her latest work is a biographical novel about Dr. Joseph Warren titled Act Worthy of Yourselves: A Novel of Dr. Joseph Warren and an American Rebellion due to publish in July 2026. She has done presentations at Washington Crossing Historic Park, the General Nathanael Greene Homestead, Cowpens National Battlefield, Ninety-Six National Park, and Camden Revolutionary War Visitor Center. Salina serves as secretary and social media director for the Board of Directors of the Dr. Joseph Warren Foundation. Salina holds a degree in Computer Science and lives in Austin with her husband John."
"Fake Portraits of Illustrious Leaders in Boston","The Massachusetts Capitol features a portrait gallery of colonial governors, all faithfully copied in the early 20th century from original portraits held by individuals and institutions—but many of the originals are fake. They are legitimately old paintings of unknown sitters by unknown artists being passed off as famous American people by famous American artists like Blackburn, Feke, and Smibert. Find out how Boston art dealer Frank W. Bayley and others pulled off their crimes and how to spot portraits with fake credentials.","Margo Burns, AB, MA is a Project Manager and Associate Editor of Records of the Salem Witch-Hunt (published in 2009 by the Cambridge University Press), the definitive comprehensive record of legal documents pertaining to the Salem witchcraft trials, organized in chronological order. She is currently working on a book about William Stoughton, the Chief Magistrate of those trials, and has been studying early American painting."
"Famous Women, Forgotten Women: Stories from American History","American history is filled with extraordinary women who shaped the nation—yet many rarely appear in textbooks. In this presentation, audiences will hear riveting, rarely told stories about both well-known and lesser-known women. Among those featured are Harriet Tubman, Clara Barton, Eleanor Roosevelt, and Rosa Parks, as well as figures such as Ellen Craft, Jo Ann Robinson, Mamie Phipps Clark, Elizabeth Peratrovich, and Virginia Hall. In this intriguing and interactive session, you'll learn how they did it and the impact they had.","Alan Fishel, Esq. is the President of LearningPlunge, a nonprofit organization he started in 2012 to engage students and adults in U.S. history and geography. Alan researched and created content for HistoryPlunge (developed in collaboration with the Smithsonian's National Portrait Gallery) and Women's HistoryPlunge, developed in collaboration with the National Women's History Museum. In addition to his work with LearningPlunge, Alan practiced law for nearly 40 years. | Robin Hayutin, Esq. is the Executive Director of the nonprofit LearningPlunge and is a lead researcher and writer behind its educational games, including HistoryPlunge and Women's HistoryPlunge. Robin also produces daily historical content for LearningPlunge's social media platforms. A former litigator, Robin later served as Director of Legal Education at a national bar association."
