Session Title,Speaker Name,Topic,Notes,Tags for app
1776: Independence and After,Robert J Allison,Am Rev,Replied 5/18,"American Revolution, Declaration of Independence, Continental Congress, Founding Era, Revolutionary Politics, Colonial America, Independence, Founding Fathers, Early Republic, 1776"
A Different Point of View,Richard Tucker and Jimmy Doucette,Living History,"Withdrew 6/25, Jimmy no longer available",
"Amelia Earhart, George Putnam, and the Making of an American Icon",Laurie Gwen Shapiro,"Women's History, Aviation History, 20th century",Posted 6/8,"Women's History, Biography, Aviation, Journalism, Publishing, Media, 20th Century, Exploration, American Culture, Celebrity"
America's First Industrial Labor Strike: The 1821 Waltham Mill Girls' Walkout,Steve Guerriero,Women's History; Labor/Industrial History; Local History,No longer available for HCB26,
"Broken Promises on the Road Revolution in Natick, 1650-1783",Niki Lefebvre,Am Rev; Black History,Replied 5/26,"American Revolution, Indigenous History, Native Americans, Nipmuc, Black History, Colonial Massachusetts, Military Service, Community History, Local History, Massachusetts"
"Civil War Monuments, from Obelisks to 'Parade Rest' to American Renaissance",A Michael Ruderman,Civil War; Public History,Replied 5/18,"Civil War, Monuments, Memorials, Public History, Commemoration, Memory, Massachusetts, Art History, Civic Spaces, Historic Preservation"
Conspirator in Chief: The Long Tradition of Conspiracy Theories in the American Presidency,Stephen Knott,Social History,Replied 5/18,"Presidential History, Political History, American Presidency, Politics, Government, Constitutional History, Democracy, Executive Power, Political Culture, Biography"
"Dr. Joseph Warren - ""Act Worthy of Yourselves""",Sam Forman,Am Rev,Added to website 6/3,"American Revolution, Biography, Boston, Bunker Hill, Sons of Liberty, Medicine, Patriot Movement, Revolutionary Leadership, Massachusetts, Military History"
Dr. Joseph Warren and an American Rebellion,Salina B Baker,Am Rev,Replied 5/20,"American Revolution, Biography, Joseph Warren, Boston, Bunker Hill, Historical Fiction, Revolutionary Leadership, Medicine, Massachusetts, Patriot Movement"
Fake Potraits of Illustrious Leaders in Boston,Margo Burns,Art History,Replied 5/19,"Art History, Portraits, Museums, Authentication, Historical Mysteries, Boston, Colonial America, Material Culture, Collecting, Visual History"
